LGA Code;LGA_b;LGA
20110;Alpine (S);Alpine
20260;Ararat (RC);Ararat
20570;Ballarat (C);Ballarat
20660;Banyule (C);Banyule
20740;Bass Coast (S);Bass Coast
20830;Baw Baw (S);Baw Baw
20910;Bayside (C);Bayside
21010;Benalla (RC);Benalla
21110;Boroondara (C);Boroondara
21180;Brimbank (C);Brimbank
21270;Buloke (S);Buloke
21370;Campaspe (S);Campaspe
21450;Cardinia (S);Cardinia
21610;Casey (C);Casey
21670;Central Goldfields (S);Central Goldfields
21750;Colac-Otway (S);Colac-Otway
21830;Corangamite (S);Corangamite
21890;Darebin (C);Darebin
22110;East Gippsland (S);East Gippsland
22170;Frankston (C);Frankston
22250;Gannawarra (S);Gannawarra
22310;Glen Eira (C);Glen Eira
22410;Glenelg (S);Glenelg
22490;Golden Plains (S);Golden Plains
22620;Greater Bendigo (C);Greater Bendigo
22670;Greater Dandenong (C);Greater Dandenong
22750;Greater Geelong (C);Greater Geelong
22830;Greater Shepparton (C);Greater Shepparton
22910;Hepburn (S);Hepburn
22980;Hindmarsh (S);Hindmarsh
23110;Hobsons Bay (C);Hobsons Bay
23190;Horsham (RC);Horsham
23270;Hume (C);Hume
23350;Indigo (S);Indigo
23430;Kingston (C) (Vic.);Kingston
23670;Knox (C);Knox
23810;Latrobe (C) (Vic.);Latrobe
23940;Loddon (S);Loddon
24130;Macedon Ranges (S);Macedon Ranges
24210;Manningham (C);Manningham
24250;Mansfield (S);Mansfield
24330;Maribyrnong (C);Maribyrnong
24410;Maroondah (C);Maroondah
24600;Melbourne (C);Melbourne
24650;Melton (C);Melton
24780;Mildura (RC);Mildura
24850;Mitchell (S);Mitchell
24900;Moira (S);Moira
24970;Monash (C);Monash
25060;Moonee Valley (C);Moonee Valley
25150;Moorabool (S);Moorabool
25250;Moreland (C);Moreland
25340;Mornington Peninsula (S);Mornington Peninsula
25430;Mount Alexander (S);Mount Alexander
25490;Moyne (S);Moyne
25620;Murrindindi (S);Murrindindi
25710;Nillumbik (S);Nillumbik
25810;Northern Grampians (S);Northern Grampians
25900;Port Phillip (C);Port Phillip
25990;Pyrenees (S);Pyrenees
26080;Queenscliffe (B);Queenscliffe
26170;South Gippsland (S);South Gippsland
26260;Southern Grampians (S);Southern Grampians
26350;Stonnington (C);Stonnington
26430;Strathbogie (S);Strathbogie
26490;Surf Coast (S);Surf Coast
26610;Swan Hill (RC);Swan Hill
26670;Towong (S);Towong
26700;Wangaratta (RC);Wangaratta
26730;Warrnambool (C);Warrnambool
26810;Wellington (S);Wellington
26890;West Wimmera (S);West Wimmera
26980;Whitehorse (C);Whitehorse
27070;Whittlesea (C);Whittlesea
27170;Wodonga (C);Wodonga
27260;Wyndham (C);Wyndham
27350;Yarra (C);Yarra
27450;Yarra Ranges (S);Yarra Ranges
27630;Yarriambiack (S);Yarriambiack
