LGA Code;LGA;;2021;2026;2031;2036
20110;Alpine (S);;12.929;13.127;13.321;13.507
20260;Ararat (RC);;11.911;11.928;11.897;11.865
20570;Ballarat (C);;113.715;124.628;135.438;145.926
20660;Banyule (C);;133.602;139.080;144.679;150.761
20740;Bass Coast (S);;37.659;41.212;44.810;48.145
20830;Baw Baw (S);;55.900;62.427;69.317;75.819
20910;Bayside (C);;109.075;113.652;118.038;122.708
21010;Benalla (RC);;14.165;14.331;14.498;14.659
21110;Boroondara (C);;186.952;195.521;204.549;213.838
21180;Brimbank (C);;213.357;223.102;233.388;244.500
21270;Buloke (S);;6.071;5.742;5.392;5.015
21370;Campaspe (S);;37.756;38.090;38.578;39.084
21450;Cardinia (S);;122.700;144.557;163.331;177.868
21610;Casey (C);;377.524;432.449;481.318;522.251
21670;Central Goldfields (S);;13.377;13.630;13.894;14.134
21750;Colac-Otway (S);;21.624;21.892;22.136;22.330
21830;Corangamite (S);;15.808;15.439;15.166;14.892
21890;Darebin (C);;169.052;182.406;196.028;210.649
22110;East Gippsland (S);;48.316;50.752;53.418;55.956
22170;Frankston (C);;145.829;151.883;158.471;165.786
22250;Gannawarra (S);;10.488;10.307;10.118;9.928
22310;Glen Eira (C);;158.879;168.757;178.839;188.211
22410;Glenelg (S);;19.582;19.431;19.138;18.757
22490;Golden Plains (S);;24.691;27.461;30.281;33.073
22620;Greater Bendigo (C);;122.241;132.973;143.511;153.759
22670;Greater Dandenong (C);;174.730;189.144;203.456;218.560
22750;Greater Geelong (C);;271.254;301.563;330.720;360.245
22830;Greater Shepparton (C);;67.764;71.063;74.415;77.693
22910;Hepburn (S);;16.071;16.612;17.160;17.700
22980;Hindmarsh (S);;5.479;5.200;4.901;4.559
23110;Hobsons Bay (C);;99.878;107.004;113.944;120.598
23190;Horsham (RC);;19.993;20.215;20.426;20.599
23270;Hume (C);;250.522;286.532;316.240;343.989
23350;Indigo (S);;16.884;17.428;17.977;18.515
23430;Kingston (C) (Vic.);;168.869;179.237;190.599;201.087
23670;Knox (C);;166.488;174.266;182.505;191.532
23810;Latrobe (C) (Vic.);;76.436;78.576;80.899;83.195
23940;Loddon (S);;7.510;7.448;7.408;7.347
24130;Macedon Ranges (S);;51.851;56.035;60.235;64.643
24210;Manningham (C);;130.385;136.787;142.719;148.411
24250;Mansfield (S);;9.379;9.968;10.485;10.966
24330;Maribyrnong (C);;99.723;117.307;133.572;147.464
24410;Maroondah (C);;121.954;128.801;135.995;143.794
24600;Melbourne (C);;203.421;242.209;270.540;292.630
24650;Melton (C);;179.489;223.933;276.428;332.051
24780;Mildura (RC);;56.680;58.578;60.560;62.554
24850;Mitchell (S);;50.071;62.423;78.766;97.688
24900;Moira (S);;30.169;30.921;31.662;32.384
24970;Monash (C);;207.526;221.230;234.749;248.928
25060;Moonee Valley (C);;134.612;145.900;156.661;167.779
25150;Moorabool (S);;37.052;41.228;45.484;49.939
25250;Moreland (C);;193.619;209.081;224.995;241.544
25340;Mornington Peninsula (S);;170.922;180.067;189.730;200.365
25430;Mount Alexander (S);;20.010;20.672;21.238;21.814
25490;Moyne (S);;17.206;17.800;18.404;19.026
25620;Murrindindi (S);;14.979;15.681;16.327;17.020
25710;Nillumbik (S);;65.370;66.760;68.410;70.314
25810;Northern Grampians (S);;11.205;10.900;10.575;10.209
25900;Port Phillip (C);;121.162;131.887;142.883;159.447
25990;Pyrenees (S);;7.377;7.489;7.602;7.712
26080;Queenscliffe (B);;3.037;3.083;3.127;3.168
26170;South Gippsland (S);;30.263;31.478;32.727;33.926
26260;Southern Grampians (S);;16.103;15.871;15.494;15.029
26350;Stonnington (C);;121.461;129.371;137.805;146.890
26430;Strathbogie (S);;10.963;11.353;11.694;12.009
26490;Surf Coast (S);;34.831;38.922;42.789;45.438
26610;Swan Hill (RC);;20.682;20.598;20.540;20.517
26670;Towong (S);;6.102;6.151;6.199;6.246
26700;Wangaratta (RC);;29.665;30.519;31.352;32.165
26730;Warrnambool (C);;35.723;37.149;38.582;39.931
26810;Wellington (S);;44.843;46.179;47.690;49.057
26890;West Wimmera (S);;3.716;3.496;3.271;3.038
26980;Whitehorse (C);;183.134;195.465;207.836;220.245
27070;Whittlesea (C);;246.011;285.917;327.471;364.453
27170;Wodonga (C);;44.165;49.174;54.108;58.901
27260;Wyndham (C);;298.150;354.543;406.651;459.216
27350;Yarra (C);;104.905;115.587;125.856;136.454
27450;Yarra Ranges (S);;161.497;168.481;176.032;183.821
27630;Yarriambiack (S);;6.505;6.193;5.881;5.568
